Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Tag 2,Product Tag 3,Product Tag 4,Product Tag 5,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price INR,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url,Product Image 2 Url,Product Image 3 Url,Product Image 4 Url,Product Image 5 Url,Product Image 6 Url,Product Image 7 Url,Product Image 8 Url
,1-16-racing-sport-mood-car,1:16 Racing Sport Mood Car,,"<p><span>Equipped with rechargeable battery(Included) for the car.Can be used about 25 minutes after fully charged batteries. Car speed can reach up to 3-4 mph for an exciting driving experience. The bright led headlights will glow with forward motion. It is out of this world when the dazzling headlights glow in the dark. Wheels are made of high quality rubber to prevent slipping. It is also fitted with rubber tires with rims. Non-toxic ABS plastic and a glossy exterior. Smooth flexible wheels with clear patterns and independent suspension system can reduce the friction between the tires and floor and bring the most active suspension, so it can freely run into around the house. Frequency is the updated new feature for this RC car, which provides stable and wider control range for the play, provides a range of up to 80ft &amp; allows you to race at a speed up to 4mph. Included rechargeable Batteries for the car and require Batteries for the remote controller. This Branded Kid Car can move in every direction with the help of a remote, you can move it Forward, Backward, Left and Right you choose to. Best Birthday Gift and Christmas Gift.</span></p>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-16-racing-sport-mood-car/8d2b6da3-c37a-4255-bb26-3026f5c9df57.png,,,,,,,,,,,,,,,,,,TRUE,,,Title: Default Title,,,FALSE,FALSE,0,,,,,,,,1649,Title,Default Title,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-16-racing-sport-mood-car/83d3f1a1-e3bd-493c-b98c-6b81ca345b4c.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-16-racing-sport-mood-car/cd548d52-bf81-4785-8299-b249d22ffadb.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-16-racing-sport-mood-car/f5930a90-0ab1-4969-bbb8-2b4915db4059.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-16-racing-sport-mood-car/2a7d2e39-7d4e-45be-955f-87791506c97c.png,,,,
,1-24-audi-a8-die-cast-model-car,1:24 Audi A8 Die-Cast Model Car,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">➤ Realistic Die-Cast Audi A8 Design – This 1:24 scale model replicates the sleek and premium look of the iconic Audi A8 sedan. Detailed headlights, rims, and logo branding offer authenticity for collectors and young auto lovers.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">➤ Durable Alloy Metal Body – Made with high-quality die-cast alloy and durable plastic parts, the Audi A8 model car is built to last. The robust construction ensures long-term play and display for kids and collectors alike.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">➤ Interactive Light &amp; Sound Features – Designed to enhance playtime fun, the car includes built-in lights and realistic engine sounds. Simply press down to activate, adding excitement for imaginative play and display setups.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">➤ Openable Doors &amp; Pull Back Action – Both front doors can be opened manually to reveal a detailed interior. Equipped with pull-back function, just pull it backward and release for a smooth, self-propelled zoom forward.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">➤ Ideal Gift for Kids &amp; Collectors – Whether for birthdays, holidays, or car model enthusiasts, this Audi A8 diecast car makes a thoughtful and impressive gift. Suitable for kids aged 3+ and hobbyists who love miniature collectibles.</span></li>
</ul>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-audi-a8-die-cast-model-car/17b6d1a3-dc24-43bc-9cfd-f0d2c990b98d.jpg,,,,,,,,,,,,,,,,,,TRUE,,,Title: Default Title,,,FALSE,FALSE,0,,,,,,,,1799,Title,Default Title,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-audi-a8-die-cast-model-car/17b6d1a3-dc24-43bc-9cfd-f0d2c990b98d.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-audi-a8-die-cast-model-car/28ed4184-5f54-45ea-82ba-488ce89c0e39.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-audi-a8-die-cast-model-car/322d1df6-3d28-437c-850d-73bbcdc14fa6.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-audi-a8-die-cast-model-car/2a06652c-6ad4-4aeb-a5fc-1d844ecad9eb.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-audi-a8-die-cast-model-car/db2871f7-3d69-4b66-b342-8ea90ab6e602.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-audi-a8-die-cast-model-car/17b5b96b-0b5b-4e46-b122-9619dbb38f2d.jpg,,
,1-24-rolls-phantom-alloy-car-model,1:24 Rolls Phantom Alloy Car Model,,"<p><label class=""index_module_idAiSummary__content__p__label__01115bb2"">Feature highlights : </label><span>This </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">1:24 scale Rolls-Royce Phantom</span><span> diecast model car features a highly detailed design with </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">moveable wheels and six-open functionality</span><span>, including sound and light effects. Made of premium alloy, it is perfect for collection and play, with dimensions of 21.5*7.5*5cm. The product supports customization options like color and logo, ensuring variety and personalization for users.</span></p>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/8b1ab38a-9d25-4455-99f3-36158ea3e028.png,,,,,,,,,,,,,,,,,,TRUE,,,Color: black,,,FALSE,FALSE,0,,,,,,,,3699,Color,black,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/21b31764-fce3-40de-8b2a-bbcac2a9c44a.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/d656c7e2-7829-474c-b908-b8676664ee62.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/3a1d2f0b-a463-4984-b0ab-7d8e4ebc229e.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/38578ad8-337f-4428-b157-5b38d40c6ee5.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/0d2c5c02-9d54-43eb-9e62-41b13615cc3c.jpg,,,
,1-24-rolls-phantom-alloy-car-model,1:24 Rolls Phantom Alloy Car Model,,"<p><label class=""index_module_idAiSummary__content__p__label__01115bb2"">Feature highlights : </label><span>This </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">1:24 scale Rolls-Royce Phantom</span><span> diecast model car features a highly detailed design with </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">moveable wheels and six-open functionality</span><span>, including sound and light effects. Made of premium alloy, it is perfect for collection and play, with dimensions of 21.5*7.5*5cm. The product supports customization options like color and logo, ensuring variety and personalization for users.</span></p>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/8b1ab38a-9d25-4455-99f3-36158ea3e028.png,,,,,,,,,,,,,,,,,,TRUE,,,Color: silver,,,FALSE,FALSE,0,,,,,,,,3699,Color,silver,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/21b31764-fce3-40de-8b2a-bbcac2a9c44a.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/d656c7e2-7829-474c-b908-b8676664ee62.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/3a1d2f0b-a463-4984-b0ab-7d8e4ebc229e.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/38578ad8-337f-4428-b157-5b38d40c6ee5.png,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-rolls-phantom-alloy-car-model/0d2c5c02-9d54-43eb-9e62-41b13615cc3c.jpg,,,
,1-24-scale-maybach-s600-pullman-car,1:24 Scale Maybach S600 Pullman Car,,"<p><label class=""index_module_idAiSummary__content__p__label__01115bb2"">Feature highlights:</label><span>This </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">1:24 scale alloy model die-cast car toy</span><span> features </span><span class=""index_module_idAiSummary__content__p__bold__01115bb2"">doors opening, pull-back action, and sound and lights effects</span><span>, crafted from ABS, zinc alloy, and rubber for durability. Suitable for kids aged 2 years and up, it comes in black and red color options with a compact product size of 21.5*6.5*5.5cm. The toy supports OEM/ODM customization, including logo and packaging design, ensuring versatility for buyers.  00000</span></p>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-maybach-s600-pullman-car/295aafd9-6d69-4189-b37c-2bfd5207c040.jpg,,,,,,,,,,,,,,,,,,TRUE,,,Title: Default Title,,,FALSE,FALSE,0,,,,,,,,1799,Title,Default Title,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-maybach-s600-pullman-car/295aafd9-6d69-4189-b37c-2bfd5207c040.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-maybach-s600-pullman-car/c68f53f9-e699-4104-b797-91915d75018f.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-maybach-s600-pullman-car/645b04e4-410d-4a34-8075-60c8664c48cb.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-maybach-s600-pullman-car/a2d73eda-7cca-4c17-818a-ab4769400932.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-maybach-s600-pullman-car/aba26f95-da10-4982-8224-088124fb33b2.jpg,,,
,1-24-scale-tesla-cybertruck-model,1:24 Scale Tesla Cybertruck Model,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">【Full-Featured Cars】: Enterprise The doors and the hood can be opened; And the press of lots of parts can make the car sound; Both the front and rear of the car are equipped with high brightness LED lights, just like a real super car</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Quality】 -  Enterprise Made of Top quality alloy with some plastic parts, the body feels realistic and the details are exquisite. Also the car resists falling.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Fun ★ Size】 -  Enterprise The car size is roughly 9.1*3.35*3.42 Inch , about the size of an adult's palm, easy to carry with a nice package .Pull Back Cars]: No battery, just pull back to work, easy to operate, don't worry about it no working; Speed is not fast enough to prevent a child from falling</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Suitable For Birthday and Christmas Gifts】: Enterprise The sound of model will sound like an engine sound, there is no doubt that the cool car model will attract children's attention. Perfect gifts for kids</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Suitable For Birthday and Christmas Gifts】: Enterprise The sound of model will sound like an engine sound, there is no doubt that the cool car model will attract children's attention. Perfect gifts for kids</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Looks】 : Enterprise Original Cars Look &amp; 4x4 four Wheel Drive. Doors can be opened.</span></li>
</ul>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-tesla-cybertruck-model/a329435f-8a58-4114-9010-49dccf5600ea.jpg,,,,,,,,,,,,,,,,,,TRUE,,,Title: Default Title,,,FALSE,FALSE,0,,,,,,,,1849,Title,Default Title,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-tesla-cybertruck-model/670e859c-c3bc-4cef-8b79-eb763678f15c.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-tesla-cybertruck-model/b10b47bc-98d0-4feb-af80-619dd16d501a.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-tesla-cybertruck-model/755e6778-c5a6-442a-9e03-1d180fc6a174.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-tesla-cybertruck-model/9607b944-38c2-4589-adc8-15f9c0275eae.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-24-scale-tesla-cybertruck-model/204749da-a378-444b-b065-082cc56926d5.jpg,,,
,1-32-bugatti-chiron-zinc-alloy-pull-back-car,1:32 Bugatti Chiron zinc Alloy Pull Back Car,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">【High Quality Material and SIZE】:Zinc Alloy + Environmental protection ABS, rubber tire and solid structure. 1:32 Bugatti Chiron SIZE:5.52*2.36*1.38（Inch）</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Sound and light effects】:When you put on the button battery on the bottom,Open the doors or Press the carbody,then it can come with Music and Light.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Strong Pull Back】:Install a strong pull-back device,You can pull back the car,then it can move forwards even without battery.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Collections and decorations】: The car door, hood, trunk can be opened, the interior decoration is very realistic, which is very good for children. It is scaled down and imitated according to the real car, suitable for home office decoration and collectibles.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Best Gifts Toys】:Very suitable as children toys for birthday, Christmas, new year gifts. Also it can be a gift for your boyfriend, friend and colleague.</span></li>
</ul>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-bugatti-chiron-zinc-alloy-pull-back-car/6ce0ba2b-cffa-43fa-add2-f65275f9ad20.jpg,,,,,,,,,,,,,,,,,,TRUE,,,Title: Default Title,,,FALSE,FALSE,0,,,,,,,,1049,Title,Default Title,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-bugatti-chiron-zinc-alloy-pull-back-car/6ce0ba2b-cffa-43fa-add2-f65275f9ad20.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-bugatti-chiron-zinc-alloy-pull-back-car/0ecfa800-5a94-4179-84d8-bf352c15cb31.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-bugatti-chiron-zinc-alloy-pull-back-car/b2615198-c2f5-4c39-ba4b-828726350842.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-bugatti-chiron-zinc-alloy-pull-back-car/bce163dd-fdff-4ec2-8cf6-c7332a4ecb89.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-bugatti-chiron-zinc-alloy-pull-back-car/78e8ecbd-298c-46d9-89f4-4afc4965d7f3.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-bugatti-chiron-zinc-alloy-pull-back-car/dae118ae-d196-4838-a668-684c5c557dd1.jpg,,
,1-32-ram-mammoth-pick-up-model-car,1:32  RAM Mammoth Pick-Up Model Car,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">This 1:32 scale model features fully functional doors, hood, and trunk, along with realistic engine sounds and lights activated by pressing the front wheels. Opening the doors illuminates the front and rear lights, enhancing the authentic experience. The pull-back action allows the car to zoom forward for hours of fun. Made from durable die-cast metal, it's built to last and perfect for collectors and car enthusiasts of all ages.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Ideal for gifting to children or friends, this model car creates cherished memories of thrilling playtime. It's also a wonderful collectible, perfect for displaying in your home or office.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Our model car boasts an intricately detailed interior with exquisite workmanship, including a simulated cab, steering wheel, and dashboard that replicate real car details for a superior experience. The four-door design enhances interactivity, with realistic sound and light effects triggered by pressing the front wheels or opening the doors. Additionally, the pull-back functionality allows the car to slide forward after being pulled back, providing engaging and dynamic play.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Joy Junction is a premium brand dedicated to offering top-quality Educational and Child Development Toys on Amazon. Established in 2023, we have consistently upheld our commitment to delivering high-quality products that inspire and educate. Our vision is to become a beloved household name in the toy industry, known for excellence and reliability. We are deeply grateful to our customers for their unwavering support and trust, which have been instrumental in our growth and success.</span></li>
</ul>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/e34c4a1d-dff2-484d-a331-0dba7f2849f7.jpg,,,,,,,,,,,,,,,,,,TRUE,,,Color: yellow,,,FALSE,FALSE,0,,,,,,,,1149,Color,yellow,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/8bd85ce0-0eec-46c6-89f5-9b1082809d4d.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/e54b605e-ad22-4970-9475-d933235165e1.webp,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/360f0dfe-0507-4c69-9982-27b89fd4c0c4.webp,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/d5447afc-79de-4443-986e-cc0037aa787f.webp,,,,
,1-32-ram-mammoth-pick-up-model-car,1:32  RAM Mammoth Pick-Up Model Car,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">This 1:32 scale model features fully functional doors, hood, and trunk, along with realistic engine sounds and lights activated by pressing the front wheels. Opening the doors illuminates the front and rear lights, enhancing the authentic experience. The pull-back action allows the car to zoom forward for hours of fun. Made from durable die-cast metal, it's built to last and perfect for collectors and car enthusiasts of all ages.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Ideal for gifting to children or friends, this model car creates cherished memories of thrilling playtime. It's also a wonderful collectible, perfect for displaying in your home or office.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Our model car boasts an intricately detailed interior with exquisite workmanship, including a simulated cab, steering wheel, and dashboard that replicate real car details for a superior experience. The four-door design enhances interactivity, with realistic sound and light effects triggered by pressing the front wheels or opening the doors. Additionally, the pull-back functionality allows the car to slide forward after being pulled back, providing engaging and dynamic play.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Joy Junction is a premium brand dedicated to offering top-quality Educational and Child Development Toys on Amazon. Established in 2023, we have consistently upheld our commitment to delivering high-quality products that inspire and educate. Our vision is to become a beloved household name in the toy industry, known for excellence and reliability. We are deeply grateful to our customers for their unwavering support and trust, which have been instrumental in our growth and success.</span></li>
</ul>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/e34c4a1d-dff2-484d-a331-0dba7f2849f7.jpg,,,,,,,,,,,,,,,,,,TRUE,,,Color: black,,,FALSE,FALSE,0,,,,,,,,1149,Color,black,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/8bd85ce0-0eec-46c6-89f5-9b1082809d4d.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/e54b605e-ad22-4970-9475-d933235165e1.webp,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/360f0dfe-0507-4c69-9982-27b89fd4c0c4.webp,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-ram-mammoth-pick-up-model-car/d5447afc-79de-4443-986e-cc0037aa787f.webp,,,,
,1-32-scale-bwm-i8-model-car,1:32 Scale BWM i8 Model Car,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Durable Die-Cast Metal Body: Made from high-quality alloy with some plastic parts for added detailing, this toy car features a sturdy, realistic build designed to last.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Pull-Back Action Toy Car: Easy to operate just pull back and release. The smooth motion and controlled speed make it safe and fun for young children.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Realistic Lights and Sounds: Equipped with front and rear LED lights and realistic engine sounds that activate when doors are opened, creating an engaging play experience.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Openable Doors and Hood: Both the doors and hood can be opened, allowing kids to explore the interior and enjoy an authentic model car feel.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Ideal Gift for Kids &amp; Collectors: Perfect for birthdays, Christmas, or return gifts. This car’s lifelike features, sounds, and lights make it a favorite among kids and collectors alike.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Suitable For Birthday and Christmas Gifts: The sound of model will sound like an engine sound, there is no doubt that the cool car model will attract children's attention. Perfect gifts for kids</span></li>
</ul>",published,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-scale-bwm-i8-model-car/b48203b5-74db-460f-89e8-e47ff9494a16.jpg,,,,,,,,,,,,,,,,,,TRUE,,,Title: Default Title,,,FALSE,FALSE,0,,,,,,,,1149,Title,Default Title,,,,,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-scale-bwm-i8-model-car/4db85b4b-0859-49ad-b8e0-e91eacab98bb.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-scale-bwm-i8-model-car/7f1d4b63-043f-4330-9fe1-367261cf2aa8.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-scale-bwm-i8-model-car/0cac6c0c-adbe-44ca-ad18-c134f07ef463.jpg,https://pub-62f3772fc4574eb99c999e9310dfa640.r2.dev/uploads/1-32-scale-bwm-i8-model-car/8d8ab01a-f14c-4fde-8525-29baedc4cf8c.jpg,,,,
