Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Short description (product.metafields.custom.short_description),Product Video (product.metafields.custom.video_url),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Audio codecs/formats supported (product.metafields.shopify.audio-codecs-formats-supported),Audio player/recorder features (product.metafields.shopify.audio-player-recorder-features),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Board game features (product.metafields.shopify.board-game-features),Board game mechanics (product.metafields.shopify.board-game-mechanics),Boot type (product.metafields.shopify.boot-type),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Connection type (product.metafields.shopify.connection-type),Connectivity technology (product.metafields.shopify.connectivity-technology),Construction set theme (product.metafields.shopify.construction-set-theme),Decoration material (product.metafields.shopify.decoration-material),Developmental features (product.metafields.shopify.developmental-features),Dexterity skills (product.metafields.shopify.dexterity-skills),Difficulty level (product.metafields.shopify.difficulty-level),Doll type (product.metafields.shopify.doll-type),Drawing/Painting kit items included (product.metafields.shopify.drawing-painting-kit-items-included),Footwear material (product.metafields.shopify.footwear-material),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Infant age group (product.metafields.shopify.infant-age-group),Inline skating style (product.metafields.shopify.inline-skating-style),Karaoke modes (product.metafields.shopify.karaoke-modes),Kit construction type (product.metafields.shopify.kit-construction-type),Language (product.metafields.shopify.language),Laser light source (product.metafields.shopify.laser-light-source),Material (product.metafields.shopify.material),Play equipment items included (product.metafields.shopify.play-equipment-items-included),Play vehicle propulsion (product.metafields.shopify.play-vehicle-propulsion),Portability (product.metafields.shopify.portability),Power source (product.metafields.shopify.power-source),Puzzle theme (product.metafields.shopify.puzzle-theme),Recommended age group (product.metafields.shopify.recommended-age-group),Remote technology (product.metafields.shopify.remote-technology),Riding toy propulsion type (product.metafields.shopify.riding-toy-propulsion-type),Scale model material (product.metafields.shopify.scale-model-material),Shell/Frame material (product.metafields.shopify.shell-frame-material),Shoe size (product.metafields.shopify.shoe-size),Skill level (product.metafields.shopify.skill-level),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Toy/Game material (product.metafields.shopify.toy-game-material),Toy tool type (product.metafields.shopify.toy-tool-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rechargeable-educational-phone-toy-kids,Rechargeable Educational Mobile Phone Toy Kids,"<p>Blast off into learning and fun with this engaging kids' toy smartphone! Designed to look just like a real phone, it features a vibrant, interactive screen with colorful icons for music, stories, numbers, shapes, and more. Little astronauts will love exploring the engaging activities, while the space-themed case sparks imagination. It's the perfect toy to introduce early learning concepts and keep tiny hands happily entertained!</p>",Toycker,Toys & Games > Toys > Pretend Play > Pretend Electronics,musical toy,Educational Toy,true,Color,blue,product.metafields.shopify.color-pattern,,,,,,,,0.0,,-214,deny,manual,299.00,510.00,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/f77aa4f9-f39f-4287-a1b2-6b517106bde5.jpg?v=1763015482,1,"",false,,,,,,,,,,,,,,,,blue; pink,,,,,,,,,,,,,,,,,,,,,,,,,,school-age-children; preschoolers,,,,,,,,,plastic,,,kg,,,active
rechargeable-educational-phone-toy-kids,,,,,,,,,pink,,,,,,,,,0.0,,-16,deny,manual,299.00,510.00,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/19ef77e5-6160-42cf-bc44-4e43a3e82c9d.jpg?v=1763200190,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rechargeable-educational-phone-toy-kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/894ca0b0-2833-4bda-9918-c4f5523e6028.jpg?v=1763200190,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechargeable-educational-phone-toy-kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/3eafb39a-a829-4110-8639-7a113b9a0b1b.jpg?v=1763200190,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechargeable-educational-phone-toy-kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/39dcea52-5291-434f-be1a-ec3de91bd15b.jpg?v=1763200190,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechargeable-educational-phone-toy-kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/c4f18723-9fa1-470c-8faf-d91018fa2ce5.jpg?v=1763200190,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote-control-rc-planes,Remote Control RC Planes,"<ul>
<li>
<span> </span>REMOTE CONTROL: 2.4GHz remote control system ensures stable signal transmission and precise control for smooth flying experience</li>
<li>ADVANCED FEATURES: Equipped with LED lights for night flying and capable of performing 360-degree flips for spectacular aerial manoeuvres</li>
<li>BATTERY SPECIFICATIONS: Includes 1 lithium polymer batteries (200g) with 4.0 mAh capacity for extended flight time</li>
<li>DESIGN &amp; MATERIAL: Constructed with durable plastic material, featuring an aerodynamic fighter jet design in grey colour</li>
<li>SAFETY &amp; AGE RATING: Recommended for ages 14 and above, includes essential safety features, and requires adult supervision for operation</li>
<li>
</li>
</ul>",Toycker,Toys & Games > Toys > Remote Control Toys > Remote Control Planes,PLANE,Action Fingures,true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,2199.00,2299.00,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0935/2269/0412/files/64c5553f-48a1-4178-b163-7c47e854adb6.png?v=1763008163,1,"",false,,,"Flight Time : 60 Minutes,&nbsp; Flying Height : 150 Meter,&nbsp; Remote Range : 50 Meters	


",,,,,,,,,,,,,striped; camouflage; multicolor,,,,,,,,,,,,,,,,,,,,,,,,,,13-18-years; adults,,,,,,all-levels; intermediate,outdoors,,plastic,,,kg,,,active
remote-control-rc-planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/ff9520e1-56a9-450d-9b14-44a63f0a1ce3.jpg?v=1763008163,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote-control-rc-planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/d82a43bc-7943-4236-9d60-1c5715201ee1.png?v=1763008163,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote-control-rc-planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/2269/0412/files/51nd-BX8CYL.jpg?v=1763008163,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
